title,avg_rating,genres,author,num_pages,price,publish_date,rating_1,rating_2,rating_3,rating_4,rating_5
The Complete Sherlock Holmes,4.51,"Fiction, Crime, Classics, Mystery",Arthur Conan Doyle,1796,$1.99,10/1/1986,635,1423,11954,44850,95734
The Stinky Cheese Man and Other Fairly Stupid Tales,4.2,"Fiction, Humor, Childrens, Picture Books",Jon Scieszka,52,$16.39,10/1/1992,1541,3505,14174,24576,43162
Meditations,4.23,"History, Classics, Philosophy, Nonfiction",Marcus Aurelius,303,$8.82,4/27/2006,1257,3106,12051,25104,40783
The Naming,4.01,"Fantasy, Fiction, Young Adult",Alison Croggon,492,$2.55,3/14/2006,517,1277,4431,8090,8665
Waiting for Godot,3.83,"Classics, Drama, Plays, Fiction, Literature, Theatre",Samuel Beckett,109,$30.98,4/26/2011,5643,11498,30478,45055,46180
The Little House Collection,4.34,"Historical Fiction, Childrens, Historical, Classics, Fiction, Young Adult",Laura Ingalls Wilder,2700,$28.04,10/7/2003,2315,3102,16161,38518,74546
A Light in the Attic,4.34,"Classics, Childrens, Poetry",Shel Silverstein,176,$25.79,10/7/2002,4797,9079,43018,93274,192375
Interview with the Vampire,3.99,"Horror, Paranormal, Vampires, Fiction, Fantasy",Anne Rice,342,$5.60,8/31/2004,8356,24389,92725,152282,160904
Charlie and the Chocolate Factory,4.12,"Young Adult, Classics, Childrens",Roald Dahl,176,$0.01,6/2/2005,7993,19604,104172,201743,237634
Diary,3.61,"Horror, Contemporary, Novels, Fiction",Chuck Palahniuk,262,$14.98,9/14/2004,1773,6634,20860,22620,13859
The Runaway Jury,3.97,"Fiction, Crime, Mystery, Thriller",John Grisham,358,$8.83,4/25/2006,1729,9263,59285,96885,76439
Shadow of Night,4.07,"Romance, Fiction, Historical Fiction, Fantasy, Paranormal, Historical, Vampires",Deborah Harkness,584,$41.60,7/10/2012,1819,6237,26237,51151,53335
"The Black Jewels Trilogy: Daughter of the Blood, Heir to the Shadows, Queen of the Darkness",4.39,"Romance, Magic, Dark Fantasy, Fiction, Fantasy",Anne Bishop,1204,$10.36,12/2/2003,268,399,1221,2707,7529
The Sweet Far Thing,3.98,"Fantasy, Historical, Young Adult, Historical Fiction",Libba Bray,819,$51.13,12/26/2007,1349,3928,12844,19766,23310
The Fall of Hyperion,4.2,"Fantasy, Science Fiction, Fiction",Dan Simmons,518,$37.83,12/26/1995,781,2858,12570,29960,36825
Warm Bodies,3.93,"Romance, Adult Fiction, Fiction, Apocalyptic, Science Fiction",Isaac Marion,240,$8.98,10/28/2010,1890,5631,21687,35481,31435
Schindler's List,4.34,"Nonfiction, War, World War II, Classics, History, Holocaust",Thomas Keneally,429,$59.99,2/17/1994,1355,2496,13722,39638,64848
Perfect Chemistry,4.07,"Contemporary Romance, Young Adult, Contemporary, Romance",Simone Elkeles,368,$5.60,12/23/2008,7171,13275,39428,62548,102372
